0950B41C	California Agriculture
013A68A4	AIDS
030F0139	Early Music History
00C5DF18	Statistical Science
393530A2	Psychiatry MMC
0625E290	Ethical Theory and Moral Practice
3A349840	The Georgia Review
08A20822	Memory Studies
06A8D1A3	Neurosurgery
03076DAF	Astérisque
01EB3286	Eurasian Geography and Economics
01876429	Annals of the Rheumatic Diseases
04A67FAA	Structural Equation Modeling
04E85264	Language Learning
0254EF9B	Journal of Shi'a Islamic Studies
3811FDA1	The Occult Review
08577871	Politique internationale
056A5E3F	International Migration Review
05C7EEB2	Clinical Nurse Specialist
0819A4F4	Journal of Pain and Symptom Management
04E57C44	Oman Medical Journal
01459BAC	University of Chicago Law Review
00862A75	Materials & Design
0A7AB667	Journal of Neurology
00666843	Journal of Monetary Economics
01B4F2D0	Critical Reviews in Biotechnology
0A08CE9B	Central Asiatic Journal
06BAE498	The Journal of Imperial and Commonwealth History
096B86A8	Developmental Medicine & Child Neurology
0A3AA79C	Polyhedron
052FCD5F	Archives of Toxicology
0082145E	Problems of Post-Communism
02E9B5F2	Virginia Law & Business Review
048A2202	American Archivist
0C5CEB0B	Psychology of Men and Masculinity
06FCB282	German Law Journal
015BCC5C	Colloids and Surfaces B: Biointerfaces
3B48773A	Naval Review
069AD324	International Socialism
016F71DD	First Amendment Law Review
096DA6FF	New Criminal Law Review
0AFE0D0E	Global Governance: A Review of Multilateralism and International Organizations
06A3B2FB	Acta Archaeologica
026B3271	Tohoku Mathematical Journal
06BAA1F7	Journal of Film and Video
06BC8FCD	Social Epistemology
09FF41C9	Psychophysiology
0B66E265	Crime and Justice
0925B906	Journal of Experimental and Theoretical Artificial Intelligence
0648A7E5	Journal of Visual Communication and Image Representation
001DE602	Journal of Catalysis
08947C75	Journal of Qur'anic Studies
08A4E341	Journal of Clinical Neuroscience
09B2DD5D	Asian Affairs
0C184490	Animal Science
3941E052	Cell Biochemistry and Function
05EA6991	Bulletin of Marine Science
01916F28	The Journal of Aesthetics and Art Criticism
048E6595	Canadian Journal of Economics
06409165	Mathematische Zeitschrift
0502EA93	Studia Hibernica
0B9BAE95	American Journal of Primatology
02FB0351	Neuromuscular Disorders
0569BE1B	American Journal of Men's Health
0758B3CC	Southern California Review of Law and Social Justice
088E9C8C	Journal of the Society for American Music
05CD5304	Iranian Studies
0870A898	Fiscal Studies
0BA9D7FB	Canadian Journal of Political Science
011C16D9	Nature Reviews Nephrology
0285C8D4	Health
